hist_values,plant
"[1, 1, 0, 2, 1, 1, 1, 2, 1, 1, 1, 1, 0, 2, 1, 2, 1, 3, 0, 1, 1, 2, 2, 5, 5, 3, 12, 25, 21, 13, 2, 0, 1, 3, 2, 2, 1, 1, 2, 3, 2, 3, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 3, 3, 3, 7, 4, 28, 23, 2, 1, 3, 3, 2, 1, 3, 4, 3, 1, 3, 3, 2, 2, 2, 3, 3, 3, 1, 3, 5, 0, 3, 0, 5, 4, 3, 5, 24, 15, 2, 3, 4, 2, 3, 4, 4, 2, 4, 2, 2, 4, 4, 4, 1, 5, 3, 3, 1, 6, 1, 3, 3, 2, 4, 2, 4, 3, 12, 15, 3, 5, 2, 4, 5, 3, 5, 3, 3, 4, 5, 3, 5, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 4, 1, 1, 6, 1, 7, 9, 5, 5, 3, 5, 4, 6, 2, 5, 5, 4, 6, 4, 2, 6, 3, 5, 4, 3, 3, 4, 4, 0, 7, 1, 0, 4, 2, 4, 2, 4, 6, 4, 6, 5, 4, 5, 3, 6, 5, 6, 4, 3, 6, 3, 5, 3, 4, 3, 6, 1, 3, 5, 0, 4, 2, 4, 2, 0, 2, 2, 7, 3, 6, 5, 3, 5, 3, 5, 6, 3, 6, 4, 3, 4, 4, 4, 5, 2, 3, 4, 3, 2, 6, 0, 3, 3, 4, 2, 0, 4, 6, 4, 4, 4, 3, 4, 3, 3, 5, 5, 3, 4, 4, 4, 2, 4, 3, 2, 4, 5, 2, 3, 2, 5, 0, 6, 2, 1, 3, 12, 5, 4, 2, 3, 5, 2, 3, 4, 2, 3, 2, 6, 2, 1, 5, 3, 4, 0, 5, 1, 4, 2, 3, 4, 1, 4, 2, 5, 1, 24]",abies_concolor
"[1, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 0, 1, 0, 1, 0, 2, 2, 0, 0, 4, 2, 12, 27, 15, 29, 27, 19, 19, 12, 2, 5, 2, 3, 1, 3, 2, 2, 1, 2, 1, 4, 2, 2, 4, 1, 4, 1, 3, 5, 5, 6, 6, 12, 11, 15, 28, 32, 11, 10, 6, 2, 3, 1, 5, 2, 2, 2, 6, 3, 4, 2, 4, 3, 3, 3, 3, 4, 5, 2, 6, 5, 8, 4, 6, 10, 24, 30, 11, 17, 5, 6, 0, 4, 4, 3, 4, 5, 6, 4, 2, 5, 4, 3, 7, 4, 4, 7, 4, 2, 5, 4, 6, 3, 7, 6, 15, 28, 10, 19, 6, 5, 1, 6, 2, 6, 7, 5, 3, 6, 4, 5, 8, 5, 5, 6, 5, 5, 3, 6, 3, 4, 5, 4, 3, 8, 14, 23, 5, 18, 6, 5, 3, 4, 3, 8, 8, 4, 7, 3, 9, 5, 7, 8, 4, 6, 4, 7, 3, 5, 6, 2, 6, 7, 4, 4, 9, 19, 3, 17, 6, 5, 4, 3, 7, 10, 5, 6, 5, 9, 6, 8, 6, 6, 7, 6, 5, 7, 5, 3, 7, 7, 4, 4, 4, 4, 6, 15, 6, 10, 6, 3, 4, 4, 5, 12, 6, 6, 7, 8, 9, 8, 5, 8, 5, 7, 5, 8, 3, 7, 6, 5, 5, 5, 3, 6, 8, 9, 6, 7, 6, 2, 3, 5, 2, 7, 9, 6, 6, 3, 9, 7, 8, 6, 5, 7, 6, 5, 5, 8, 2, 4, 9, 4, 4, 6, 3, 4, 6, 29, 4, 4, 0, 3, 5, 2, 6, 7, 6, 4, 6, 4, 7, 7, 7, 5, 5, 6, 7, 3, 4, 5, 6, 3, 3, 8, 4, 4, 4, 47]",abies_concolor
"[1, 0, 0, 0, 1, 1, 0, 4, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2, 4, 5, 14, 11, 18, 1, 0, 1, 2, 3, 3, 2, 1, 0, 0, 0, 1, 0, 0, 3, 1, 2, 1, 3, 1, 2, 2, 0, 3, 2, 3, 5, 6, 9, 14, 1, 1, 4, 2, 4, 1, 0, 0, 1, 0, 3, 1, 3, 3, 2, 3, 2, 2, 1, 4, 3, 2, 2, 2, 1, 4, 3, 5, 6, 5, 1, 1, 4, 3, 3, 1, 0, 0, 1, 2, 3, 1, 5, 2, 2, 2, 2, 3, 3, 3, 2, 3, 1, 3, 4, 3, 1, 2, 4, 6, 1, 1, 0, 4, 3, 3, 1, 0, 0, 0, 0, 1, 1, 3, 2, 0, 3, 2, 0, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 26, 1, 0, 1, 0, 1, 4, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 3, 1, 1, 0, 0, 2, 0, 2, 46, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 2, 2, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",abies_concolor
"[2, 0, 0, 0, 0, 2, 0, 0, 4, 1, 0, 2, 1, 2, 1, 2, 0, 1, 1, 1, 2, 5, 6, 13, 32, 32, 22, 11, 8, 3, 2, 0, 0, 0, 2, 2, 4, 3, 3, 2, 1, 1, 1, 2, 4, 2, 1, 4, 3, 2, 1, 5, 5, 5, 18, 36, 13, 15, 3, 14, 2, 0, 0, 2, 3, 4, 3, 5, 1, 1, 2, 6, 2, 4, 3, 3, 5, 4, 2, 3, 5, 3, 4, 6, 7, 20, 29, 12, 3, 10, 2, 0, 0, 3, 4, 5, 5, 2, 2, 5, 5, 4, 3, 6, 5, 5, 5, 4, 6, 4, 4, 4, 6, 2, 8, 8, 13, 18, 11, 5, 2, 0, 1, 4, 5, 6, 3, 4, 6, 4, 5, 6, 6, 6, 5, 7, 5, 5, 5, 5, 4, 5, 4, 0, 8, 1, 8, 8, 8, 18, 2, 0, 3, 6, 4, 7, 4, 6, 7, 7, 7, 6, 7, 7, 5, 7, 5, 7, 4, 2, 8, 0, 7, 2, 2, 4, 4, 2, 15, 7, 2, 1, 4, 6, 6, 6, 6, 8, 7, 9, 6, 9, 8, 5, 7, 7, 5, 3, 6, 2, 6, 3, 5, 2, 4, 5, 4, 4, 6, 2, 2, 1, 3, 5, 5, 8, 4, 7, 9, 7, 7, 8, 7, 7, 6, 6, 5, 5, 4, 4, 5, 4, 4, 5, 1, 5, 5, 5, 4, 6, 2, 0, 2, 4, 5, 4, 7, 4, 5, 6, 8, 6, 7, 6, 6, 4, 7, 4, 6, 4, 3, 7, 1, 7, 0, 6, 4, 3, 3, 23, 2, 0, 1, 2, 3, 5, 3, 4, 5, 3, 6, 6, 5, 6, 3, 7, 4, 5, 7, 3, 5, 6, 2, 5, 3, 5, 3, 4, 2, 39]",abies_concolor
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 4, 1, 2, 1, 1, 2, 1, 3, 1, 2, 5, 3, 6, 20, 29, 20, 14, 18, 10, 1, 2, 2, 0, 0, 1, 2, 1, 2, 4, 1, 4, 3, 2, 3, 4, 5, 4, 4, 7, 4, 9, 22, 17, 19, 9, 5, 0, 6, 2, 5, 2, 2, 0, 1, 2, 3, 2, 2, 4, 3, 3, 5, 5, 5, 4, 3, 6, 2, 6, 6, 6, 8, 12, 14, 12, 10, 7, 5, 2, 4, 5, 2, 0, 3, 2, 3, 3, 2, 5, 5, 5, 5, 8, 5, 5, 4, 8, 3, 4, 5, 4, 6, 9, 10, 10, 9, 7, 4, 4, 4, 5, 2, 1, 3, 3, 3, 3, 3, 6, 6, 6, 9, 7, 5, 7, 5, 5, 5, 3, 5, 5, 4, 3, 4, 5, 8, 8, 7, 6, 6, 6, 2, 1, 4, 3, 4, 4, 4, 9, 6, 10, 6, 8, 7, 6, 5, 3, 8, 4, 3, 3, 3, 2, 4, 3, 5, 6, 6, 9, 7, 4, 2, 3, 4, 3, 3, 5, 7, 8, 9, 8, 9, 7, 7, 4, 6, 6, 4, 3, 3, 3, 3, 3, 2, 6, 4, 3, 4, 9, 7, 4, 2, 3, 4, 3, 4, 5, 8, 6, 12, 8, 8, 7, 5, 5, 8, 3, 4, 4, 4, 4, 1, 4, 5, 4, 3, 3, 6, 4, 5, 7, 2, 1, 4, 3, 4, 4, 3, 10, 6, 8, 8, 8, 7, 3, 4, 9, 3, 3, 3, 4, 6, 2, 2, 4, 5, 2, 3, 6, 2, 20, 2, 0, 4, 3, 3, 2, 4, 5, 5, 6, 7, 8, 6, 6, 5, 3, 3, 8, 4, 3, 3, 3, 6, 3, 2, 2, 3, 4, 3, 33]",abies_concolor
"[2, 1, 2, 1, 1, 1, 3, 3, 0, 2, 1, 2, 1, 2, 1, 0, 3, 1, 3, 1, 1, 2, 2, 6, 7, 13, 15, 13, 6, 6, 2, 2, 1, 5, 1, 3, 4, 4, 0, 3, 3, 2, 2, 3, 2, 2, 1, 1, 2, 3, 2, 1, 2, 2, 2, 9, 8, 9, 14, 7, 2, 2, 4, 3, 5, 4, 4, 3, 2, 5, 3, 2, 2, 2, 4, 3, 1, 1, 4, 3, 2, 2, 2, 2, 2, 4, 3, 6, 12, 8, 2, 3, 3, 4, 7, 5, 4, 4, 4, 3, 2, 4, 3, 2, 2, 3, 4, 2, 2, 3, 4, 4, 2, 1, 5, 2, 4, 3, 6, 5, 2, 1, 4, 1, 3, 5, 5, 4, 3, 4, 3, 2, 2, 2, 4, 1, 2, 2, 3, 3, 3, 1, 3, 2, 3, 4, 3, 1, 4, 22, 2, 0, 1, 3, 2, 1, 4, 3, 4, 2, 3, 2, 2, 2, 3, 1, 1, 2, 2, 2, 2, 2, 0, 2, 3, 3, 2, 3, 0, 43, 1, 1, 0, 1, 1, 1, 2, 2, 2, 1, 2, 1, 3, 0, 4, 1, 0, 3, 0, 3, 1, 1, 1, 0, 2, 0, 2, 0, 4, 62, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 2, 2, 1, 0, 2, 1, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",abies_concolor
"[4, 2, 2, 1, 3, 1, 0, 1, 1, 2, 0, 0, 1, 3, 3, 1, 1, 1, 2, 2, 2, 6, 4, 3, 4, 10, 10, 4, 6, 4, 4, 2, 2, 0, 3, 2, 2, 2, 3, 2, 2, 2, 0, 0, 1, 1, 1, 2, 3, 5, 4, 4, 4, 3, 3, 6, 3, 7, 7, 4, 4, 3, 1, 1, 3, 2, 4, 3, 2, 3, 0, 1, 1, 2, 1, 3, 2, 3, 4, 5, 3, 3, 4, 1, 5, 7, 3, 4, 3, 3, 4, 3, 1, 4, 2, 4, 3, 4, 1, 1, 1, 2, 4, 2, 4, 4, 5, 2, 3, 2, 3, 4, 2, 3, 3, 3, 4, 0, 4, 2, 4, 3, 2, 3, 3, 6, 3, 2, 1, 1, 3, 3, 3, 4, 6, 4, 3, 2, 4, 4, 2, 2, 2, 2, 1, 3, 0, 2, 4, 2, 4, 3, 2, 4, 2, 5, 4, 2, 1, 1, 2, 4, 1, 5, 6, 3, 3, 3, 5, 3, 1, 3, 2, 1, 2, 2, 2, 0, 4, 4, 3, 3, 2, 3, 2, 2, 4, 2, 5, 0, 2, 0, 0, 4, 2, 1, 5, 5, 3, 2, 2, 5, 3, 2, 1, 2, 2, 2, 3, 12, 2, 2, 2, 2, 3, 2, 2, 1, 3, 3, 3, 1, 1, 1, 0, 1, 1, 1, 2, 2, 5, 2, 2, 2, 3, 4, 4, 3, 1, 23, 2, 0, 2, 2, 2, 1, 3, 2, 2, 1, 0, 1, 3, 3, 0, 2, 2, 0, 0, 1, 1, 0, 0, 0, 2, 4, 3, 1, 2, 42, 2, 0, 0, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 1, 1, 1, 2, 0, 1, 0, 1, 0, 1, 1, 55]",abies_concolor
"[1, 0, 2, 1, 0, 0, 3, 1, 3, 2, 0, 2, 0, 1, 0, 1, 3, 1, 3, 1, 2, 6, 4, 12, 18, 30, 22, 22, 8, 5, 1, 2, 1, 1, 3, 5, 1, 2, 1, 2, 3, 2, 2, 2, 4, 2, 3, 1, 4, 3, 3, 5, 7, 13, 12, 17, 18, 22, 5, 7, 2, 2, 1, 1, 4, 4, 3, 4, 1, 5, 2, 4, 4, 2, 4, 4, 1, 2, 4, 4, 4, 7, 5, 7, 12, 18, 13, 14, 11, 5, 3, 1, 2, 1, 3, 5, 7, 1, 5, 4, 4, 5, 3, 3, 3, 3, 4, 6, 7, 3, 7, 6, 3, 9, 7, 9, 10, 8, 16, 6, 3, 2, 1, 2, 4, 6, 6, 3, 5, 5, 6, 3, 4, 5, 6, 7, 4, 8, 8, 3, 8, 4, 5, 5, 3, 9, 3, 9, 13, 4, 3, 2, 2, 1, 5, 8, 6, 3, 8, 7, 1, 7, 6, 7, 6, 8, 9, 5, 7, 7, 3, 6, 3, 3, 3, 5, 6, 5, 8, 4, 3, 2, 2, 2, 7, 7, 5, 8, 4, 6, 4, 7, 7, 8, 9, 8, 6, 10, 2, 7, 4, 3, 4, 5, 6, 1, 2, 5, 6, 4, 3, 2, 2, 1, 3, 6, 7, 4, 8, 4, 6, 3, 5, 9, 8, 5, 9, 8, 4, 8, 3, 6, 4, 1, 5, 6, 4, 3, 3, 14, 3, 1, 2, 1, 1, 2, 7, 5, 5, 4, 6, 4, 5, 4, 5, 5, 7, 7, 6, 5, 8, 5, 5, 5, 3, 5, 2, 5, 5, 26, 2, 2, 1, 1, 1, 1, 2, 5, 4, 5, 4, 3, 5, 4, 4, 4, 3, 5, 4, 7, 5, 7, 3, 6, 8, 3, 4, 4, 3, 44]",abies_concolor
"[2, 0, 2, 1, 3, 2, 2, 3, 3, 0, 0, 1, 0, 2, 2, 3, 2, 3, 5, 6, 12, 11, 11, 12, 9, 11, 8, 3, 4, 1, 2, 2, 2, 5, 3, 1, 3, 1, 2, 2, 4, 2, 3, 2, 1, 3, 2, 2, 5, 5, 7, 7, 7, 9, 7, 10, 10, 7, 3, 5, 3, 2, 3, 2, 1, 3, 6, 2, 2, 5, 2, 3, 3, 2, 3, 5, 1, 3, 2, 4, 5, 6, 4, 4, 7, 6, 11, 12, 3, 9, 3, 3, 4, 0, 1, 3, 4, 5, 3, 3, 4, 3, 6, 3, 3, 3, 4, 1, 4, 2, 2, 2, 3, 1, 4, 5, 5, 22, 4, 14, 4, 3, 3, 0, 2, 2, 3, 6, 4, 3, 4, 7, 4, 4, 4, 3, 4, 3, 1, 2, 1, 3, 2, 2, 4, 2, 6, 20, 5, 13, 4, 4, 2, 0, 2, 2, 1, 7, 4, 4, 5, 8, 5, 3, 4, 3, 4, 1, 2, 1, 4, 3, 3, 5, 5, 6, 8, 8, 10, 6, 3, 2, 4, 1, 0, 1, 2, 2, 2, 5, 4, 5, 5, 4, 8, 4, 2, 2, 3, 2, 1, 0, 4, 2, 4, 4, 4, 5, 7, 32, 2, 3, 2, 2, 1, 0, 0, 1, 2, 0, 6, 3, 5, 3, 4, 4, 6, 2, 5, 2, 4, 1, 0, 0, 2, 3, 1, 3, 5, 52, 2, 1, 2, 0, 3, 1, 1, 0, 0, 0, 0, 2, 4, 3, 3, 5, 4, 3, 4, 4, 2, 5, 1, 1, 4, 1, 1, 1, 0, 66, 2, 0, 1, 2, 0, 0, 1, 2, 0, 1, 0, 1, 0, 2, 2, 2, 2, 2, 3, 3, 3, 2, 4, 3, 4, 2, 3, 1, 0, 76]",abies_concolor
"[3, 1, 1, 1, 3, 1, 2, 0, 3, 0, 1, 2, 1, 3, 2, 4, 0, 0, 2, 0, 1, 3, 4, 1, 2, 5, 9, 14, 10, 11, 4, 1, 1, 2, 1, 3, 2, 4, 2, 2, 4, 1, 1, 1, 2, 1, 0, 0, 2, 1, 3, 3, 4, 2, 2, 6, 5, 12, 7, 11, 4, 1, 1, 3, 3, 4, 4, 3, 4, 1, 1, 3, 0, 0, 1, 2, 4, 2, 2, 3, 0, 1, 3, 3, 6, 4, 4, 7, 8, 8, 5, 1, 2, 4, 2, 5, 5, 4, 1, 3, 0, 0, 2, 3, 4, 3, 2, 0, 2, 2, 5, 3, 2, 2, 2, 3, 5, 6, 6, 6, 5, 1, 3, 4, 4, 6, 3, 3, 2, 1, 0, 2, 4, 4, 2, 2, 0, 2, 5, 4, 3, 2, 2, 3, 2, 4, 2, 5, 6, 4, 3, 3, 2, 5, 3, 2, 6, 2, 2, 2, 2, 0, 0, 3, 2, 3, 2, 3, 1, 0, 4, 3, 3, 3, 1, 2, 3, 3, 3, 19, 1, 3, 3, 2, 3, 3, 2, 2, 1, 4, 1, 5, 0, 2, 0, 0, 0, 3, 2, 2, 3, 1, 2, 1, 0, 3, 2, 3, 3, 33, 1, 1, 3, 3, 1, 2, 2, 2, 0, 3, 2, 0, 1, 2, 2, 3, 2, 0, 0, 2, 0, 0, 0, 2, 2, 0, 2, 2, 2, 48, 1, 1, 0, 2, 2, 1, 1, 1, 1, 1, 0, 2, 0, 0, 3, 1, 1, 0, 1, 0, 1, 0, 0, 2, 2, 2, 2, 0, 2, 60, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88]",abies_concolor
