hist_values,plant
9,chamaecyparis_pisifera
18,chamaecyparis_pisifera
8,chamaecyparis_pisifera
16,chamaecyparis_pisifera
25,chamaecyparis_pisifera
45,chamaecyparis_pisifera
43,chamaecyparis_pisifera
39,chamaecyparis_pisifera
45,chamaecyparis_pisifera
43,chamaecyparis_pisifera
44,chamaecyparis_pisifera
40,chamaecyparis_pisifera
43,chamaecyparis_pisifera
27,chamaecyparis_pisifera
38,chamaecyparis_pisifera
29,chamaecyparis_pisifera
23,chamaecyparis_pisifera
19,chamaecyparis_pisifera
15,chamaecyparis_pisifera
13,chamaecyparis_pisifera
11,chamaecyparis_pisifera
14,chamaecyparis_pisifera
17,chamaecyparis_pisifera
16,chamaecyparis_pisifera
37,chamaecyparis_pisifera
64,chamaecyparis_pisifera
57,chamaecyparis_pisifera
49,chamaecyparis_pisifera
29,chamaecyparis_pisifera
25,chamaecyparis_pisifera
34,chamaecyparis_pisifera
44,chamaecyparis_pisifera
40,chamaecyparis_pisifera
35,chamaecyparis_pisifera
34,chamaecyparis_pisifera
27,chamaecyparis_pisifera
24,chamaecyparis_pisifera
15,chamaecyparis_pisifera
10,chamaecyparis_pisifera
12,chamaecyparis_pisifera
4,chamaecyparis_pisifera
6,chamaecyparis_pisifera
106,chamaecyparis_pisifera
11,chamaecyparis_pisifera
4,chamaecyparis_pisifera
18,chamaecyparis_pisifera
45,chamaecyparis_pisifera
45,chamaecyparis_pisifera
39,chamaecyparis_pisifera
26,chamaecyparis_pisifera
26,chamaecyparis_pisifera
37,chamaecyparis_pisifera
28,chamaecyparis_pisifera
34,chamaecyparis_pisifera
36,chamaecyparis_pisifera
26,chamaecyparis_pisifera
27,chamaecyparis_pisifera
27,chamaecyparis_pisifera
23,chamaecyparis_pisifera
11,chamaecyparis_pisifera
6,chamaecyparis_pisifera
6,chamaecyparis_pisifera
12,chamaecyparis_pisifera
71,chamaecyparis_pisifera
17,chamaecyparis_pisifera
14,chamaecyparis_pisifera
11,chamaecyparis_pisifera
11,chamaecyparis_pisifera
30,chamaecyparis_pisifera
23,chamaecyparis_pisifera
37,chamaecyparis_pisifera
37,chamaecyparis_pisifera
44,chamaecyparis_pisifera
36,chamaecyparis_pisifera
43,chamaecyparis_pisifera
31,chamaecyparis_pisifera
41,chamaecyparis_pisifera
31,chamaecyparis_pisifera
21,chamaecyparis_pisifera
39,chamaecyparis_pisifera
24,chamaecyparis_pisifera
10,chamaecyparis_pisifera
11,chamaecyparis_pisifera
11,chamaecyparis_pisifera
41,chamaecyparis_pisifera
24,chamaecyparis_pisifera
19,chamaecyparis_pisifera
8,chamaecyparis_pisifera
8,chamaecyparis_pisifera
8,chamaecyparis_pisifera
6,chamaecyparis_pisifera
13,chamaecyparis_pisifera
28,chamaecyparis_pisifera
20,chamaecyparis_pisifera
16,chamaecyparis_pisifera
32,chamaecyparis_pisifera
53,chamaecyparis_pisifera
54,chamaecyparis_pisifera
51,chamaecyparis_pisifera
53,chamaecyparis_pisifera
32,chamaecyparis_pisifera
57,chamaecyparis_pisifera
21,chamaecyparis_pisifera
31,chamaecyparis_pisifera
18,chamaecyparis_pisifera
21,chamaecyparis_pisifera
21,chamaecyparis_pisifera
17,chamaecyparis_pisifera
8,chamaecyparis_pisifera
15,chamaecyparis_pisifera
7,chamaecyparis_pisifera
6,chamaecyparis_pisifera
9,chamaecyparis_pisifera
3,chamaecyparis_pisifera
4,chamaecyparis_pisifera
3,chamaecyparis_pisifera
18,chamaecyparis_pisifera
20,chamaecyparis_pisifera
18,chamaecyparis_pisifera
21,chamaecyparis_pisifera
42,chamaecyparis_pisifera
57,chamaecyparis_pisifera
57,chamaecyparis_pisifera
68,chamaecyparis_pisifera
78,chamaecyparis_pisifera
100,chamaecyparis_pisifera
18,chamaecyparis_pisifera
12,chamaecyparis_pisifera
8,chamaecyparis_pisifera
14,chamaecyparis_pisifera
11,chamaecyparis_pisifera
15,chamaecyparis_pisifera
8,chamaecyparis_pisifera
7,chamaecyparis_pisifera
7,chamaecyparis_pisifera
7,chamaecyparis_pisifera
0,chamaecyparis_pisifera
2,chamaecyparis_pisifera
5,chamaecyparis_pisifera
18,chamaecyparis_pisifera
21,chamaecyparis_pisifera
34,chamaecyparis_pisifera
45,chamaecyparis_pisifera
89,chamaecyparis_pisifera
214,chamaecyparis_pisifera
19,chamaecyparis_pisifera
39,chamaecyparis_pisifera
12,chamaecyparis_pisifera
6,chamaecyparis_pisifera
8,chamaecyparis_pisifera
14,chamaecyparis_pisifera
9,chamaecyparis_pisifera
13,chamaecyparis_pisifera
6,chamaecyparis_pisifera
15,chamaecyparis_pisifera
6,chamaecyparis_pisifera
6,chamaecyparis_pisifera
5,chamaecyparis_pisifera
4,chamaecyparis_pisifera
3,chamaecyparis_pisifera
